Comuna,2010,2011,2012,2013,2014,2015,2016
 1, 9.9,9.1,10.7,8.9,4.9,7.6,9.5
 2, 6.7,6.6,5.1,7.5,9.2,4.5,3.6
 3, 4.9,10.8,7.2,11.9,9.4,5.4,8.0
 4, 9.9,11.1,11.8,11.8,12.3,7.2,11.9
 5, 3.6,7.2,5.7,8.7,6.7,6.7,8.5
 6, 3.2,5.2,9.0,6.8,7.5,5.7,2.4
 7, 8.1,11.0,8.9,11.9,8.5,6.4,8.5
 8, 7.9,9.7,10.8,10.9,12.7,8.2,9.7
 9, 8.1,10.4,8.8,9.3,6.5,6.5,10.1
10, 7.5,7.1,7.3,12.2,5.3,5.8,3.6
11,5.4,6.3,4.0,5.6,5.3,5.0,6.2
12,6.5,5.5,5.8,8.0,3.4,3.1,7.1
13,2.3,7.2,6.2,2.7,6.9,4.7,4.5
14,6.9,5.0,6.9,5.3,6.8,5.6,3.2
15,5.4,10.4,7.2,7.2,7.8,4.3,6.4
