ORIGEN_ESTACION,DESTINO_ESTACION,lon,lat,total
1,2,-58.39256,-34.5833,174
1,2,-58.39813,-34.58071,174
1,2,-58.39933,-34.58276,174
1,2,-58.39624,-34.58332,174
1,2,-58.39115,-34.58492,174
1,2,-58.38932,-34.58511,174
1,2,-58.38737,-34.58583,174
1,2,-58.37937,-34.59012,174
1,2,-58.37472,-34.59307,174
1,2,-58.37423,-34.59359,174
1,2,-58.3739,-34.59363,174
1,2,-58.37275,-34.59218,174
1,2,-58.37259,-34.59172,174
1,2,-58.37346,-34.59124,174
1,2,-58.37384,-34.59125,174
1,2,-58.37493,-34.592529999999996,174
1,44,-58.39256,-34.5833,104
1,44,-58.39991,-34.57983,104
1,44,-58.40209,-34.57856,104
1,44,-58.40759,-34.57451,104
1,44,-58.41134,-34.57198,104
1,44,-58.41177,-34.57185,104
1,44,-58.41231,-34.57217,104
1,44,-58.41428,-34.57416,104
1,44,-58.41537,-34.57478,104
1,44,-58.41541,-34.57506,104
1,44,-58.41523,-34.57523,104
1,44,-58.41452,-34.57533,104
2,1,-58.37493,-34.592529999999996,165
2,1,-58.37527,-34.59276,165
2,1,-58.37472,-34.59307,165
2,1,-58.37446,-34.59346,165
2,1,-58.37423,-34.59359,165
2,1,-58.3739,-34.59363,165
2,1,-58.37381,-34.5935,165
2,1,-58.37585,-34.59243,165
2,1,-58.37987,-34.58983,165
2,1,-58.38584,-34.58658,165
2,1,-58.38737,-34.58583,165
2,1,-58.38771,-34.58555,165
2,1,-58.38913,-34.58483,165
2,1,-58.39256,-34.5833,165
2,10,-58.37493,-34.592529999999996,114
2,10,-58.37527,-34.59276,114
2,10,-58.3739,-34.59363,114
2,10,-58.37221,-34.59175,114
2,10,-58.36882,-34.59994,114
2,10,-58.36831,-34.60166,114
2,10,-58.36661,-34.61692,114
2,10,-58.36587,-34.61687,114
2,10,-58.366,-34.61557,114
2,164,-58.37493,-34.592529999999996,86
2,164,-58.37527,-34.59276,86
2,164,-58.37358,-34.59404,86
2,164,-58.37121,-34.59854,86
2,164,-58.37061,-34.60082,86
2,164,-58.37023,-34.60578,86
2,164,-58.36883,-34.60692,86
2,164,-58.36852,-34.60764,86
2,164,-58.36859,-34.60844,86
2,164,-58.36961,-34.60945,86
2,164,-58.36947,-34.61784,86
2,164,-58.36923,-34.61839,86
2,164,-58.36674,-34.61815,86
10,2,-58.366,-34.61557,110
10,2,-58.36754,-34.60024,110
10,2,-58.37031,-34.59208,110
10,2,-58.37074,-34.58996,110
10,2,-58.37237,-34.59149,110
10,2,-58.37384,-34.59125,110
10,2,-58.37493,-34.592529999999996,110
30,9,-58.39733,-34.59042,96
30,9,-58.39742,-34.59054,96
30,9,-58.39983,-34.58915,96
30,9,-58.39844,-34.5882,96
30,9,-58.39722,-34.58748,96
30,9,-58.40122,-34.5839,96
30,9,-58.40202,-34.58345,96
30,9,-58.40626,-34.58346,96
30,9,-58.40718,-34.58318,96
30,9,-58.4066,-34.58203,96
30,9,-58.40558,-34.58235,96
30,9,-58.406,-34.58326,96
30,9,-58.40662,-34.58417,96
44,1,-58.41452,-34.57533,128
44,1,-58.4137,-34.57553,128
44,1,-58.40688,-34.57873,128
44,1,-58.40142,-34.57281,128
44,1,-58.40147,-34.57255,128
44,1,-58.40191,-34.57224,128
44,1,-58.40199,-34.57199,128
44,1,-58.40174,-34.57164,128
44,1,-58.40129,-34.57161,128
44,1,-58.39907,-34.57253,128
44,1,-58.39335,-34.57546,128
44,1,-58.388,-34.57935,128
44,1,-58.38097,-34.5831,128
44,1,-58.38012,-34.58397,128
44,1,-58.37993,-34.58461,128
44,1,-58.37997,-34.58527,128
44,1,-58.38124,-34.58755,128
44,1,-58.3817,-34.58791,128
44,1,-58.38227,-34.58802,128
44,1,-58.38457,-34.58692,128
44,1,-58.38501,-34.58704,128
44,1,-58.38913,-34.58483,128
44,1,-58.39256,-34.5833,128
44,14,-58.41452,-34.57533,93
44,14,-58.4137,-34.57553,93
44,14,-58.41174,-34.57643,93
44,14,-58.41519,-34.58172,93
44,14,-58.41969,-34.58143,93
44,14,-58.42007,-34.58133,93
44,14,-58.42018,-34.58128,93
44,14,-58.42037,-34.58095,93
44,14,-58.42074,-34.58075,93
44,14,-58.42103,-34.58068,93
44,14,-58.42165,-34.58074,93
44,14,-58.42186,-34.58069,93
44,14,-58.42425,-34.57914,93
44,14,-58.42569,-34.578360000000004,93
44,14,-58.42588,-34.57813,93
44,14,-58.42635,-34.57796,93
121,161,-58.42834,-34.60081,93
121,161,-58.42808,-34.59906,93
121,161,-58.42663,-34.59918,93
121,161,-58.42358,-34.59911,93
121,161,-58.42204,-34.59935,93
121,161,-58.42045,-34.59952,93
121,161,-58.42079,-34.60191,93
121,161,-58.419670000000004,-34.60201,93
161,121,-58.419670000000004,-34.60201,86
161,121,-58.41932,-34.60205,86
161,121,-58.419,-34.59951,86
161,121,-58.42145,-34.59842,86
161,121,-58.42249,-34.59792,86
161,121,-58.42262,-34.59788,86
161,121,-58.42309,-34.59785,86
161,121,-58.42336,-34.59775,86
161,121,-58.42383,-34.59782,86
161,121,-58.42658,-34.5979,86
161,121,-58.42688,-34.59798,86
161,121,-58.42798,-34.59842,86
161,121,-58.42916,-34.59893,86
161,121,-58.42966,-34.59935,86
161,121,-58.42971,-34.59982,86
161,121,-58.42994,-34.60098,86
161,121,-58.42839,-34.60115,86
161,121,-58.42834,-34.60081,86
